央视频道,#genre#
CCTV-1,http://[2409:8087:2001:20:2800:0:df6e:eb03]:80/PLTV/1/224/3221230514/1.m3u8
CCTV-1,http://[2409:8087:2001:20:2800:0:df6e:eb03]:80/PLTV/1/224/3221230526/1.m3u8
CCTV-1,http://[2409:8087:2001:20:2800:0:df6e:eb03]:80/PLTV/1/224/3221230542/1.m3u8
CCTV-1,http://[2409:8087:2001:20:2800:0:df6e:eb03]:80/PLTV/1/224/3221230571/1.m3u8
CCTV-1,http://[2409:8087:2001:20:2800:0:df6e:eb03]:80/PLTV/1/224/3221230656/1.m3u8
CCTV-1,http://[2409:8087:2001:20:2800:0:df6e:eb03]:80/PLTV/1/224/3221230842/1.m3u8
CCTV-1,http://[2409:8087:2001:20:2800:0:df6e:eb03]:80/PLTV/1/224/3221230971/1.m3u8
CCTV-1,http://[2409:8087:2001:20:2800:0:df6e:eb04]/wh7f454c46tw1929915157_-1559215175/ott.mobaibox.com/PLTV/88888890/224/3221226316/index.m3u8?icpid=88888890&RTS=1687954142&from=40&popid=40&hms_devid=2041&prioritypopid=40&vqe=3
CCTV-1,http://[2409:8087:2001:20:2800:0:df6e:eb04]/wh7f454c46tw3277508627_822511156/ott.mobaibox.com/PLTV/88888890/224/3221225530/index.m3u8?icpid=88888890&RTS=1687951194&from=40&popid=40&hms_devid=2041&prioritypopid=40&vqe=3
CCTV-1,http://[2409:8087:2001:20:2800:0:df6e:eb04]:80/PLTV/1/224/3221230370/1.m3u8
CCTV-1,http://[2409:8087:2001:20:2800:0:df6e:eb04]:80/PLTV/1/224/3221230514/1.m3u8
CCTV-1,http://[2409:8087:2001:20:2800:0:df6e:eb04]:80/PLTV/1/224/3221230526/1.m3u8
CCTV-1,http://[2409:8087:2001:20:2800:0:df6e:eb04]:80/PLTV/1/224/3221230542/1.m3u8
CCTV-1,http://[2409:8087:2001:20:2800:0:df6e:eb04]:80/PLTV/1/224/3221230571/1.m3u8
CCTV-1,http://[2409:8087:2001:20:2800:0:df6e:eb04]:80/PLTV/1/224/3221230656/1.m3u8
CCTV-1,http://[2409:8087:2001:20:2800:0:df6e:eb04]:80/PLTV/1/224/3221230971/1.m3u8
CCTV-1,http://[2409:8087:2001:20:2800:0:df6e:eb05]:80/PLTV/1/224/3221230370/1.m3u8
CCTV-1,http://[2409:8087:2001:20:2800:0:df6e:eb05]:80/PLTV/1/224/3221230514/1.m3u8
CCTV-1,http://[2409:8087:2001:20:2800:0:df6e:eb05]:80/PLTV/1/224/3221230526/1.m3u8
CCTV-1,http://[2409:8087:2001:20:2800:0:df6e:eb05]:80/PLTV/1/224/3221230542/1.m3u8
CCTV-1,http://[2409:8087:2001:20:2800:0:df6e:eb05]:80/PLTV/1/224/3221230571/1.m3u8
CCTV-1,http://[2409:8087:2001:20:2800:0:df6e:eb05]:80/PLTV/1/224/3221230656/1.m3u8
CCTV-1,http://[2409:8087:2001:20:2800:0:df6e:eb05]:80/PLTV/1/224/3221230971/1.m3u8
CCTV-1,http://[2409:8087:2001:20:2800:0:df6e:eb06]:80/PLTV/1/224/3221230370/1.m3u8
CCTV-1,http://[2409:8087:2001:20:2800:0:df6e:eb06]:80/PLTV/1/224/3221230514/1.m3u8
CCTV-1,http://[2409:8087:2001:20:2800:0:df6e:eb06]:80/PLTV/1/224/3221230526/1.m3u8
CCTV-1,http://[2409:8087:2001:20:2800:0:df6e:eb06]:80/PLTV/1/224/3221230542/1.m3u8
CCTV-1,http://[2409:8087:2001:20:2800:0:df6e:eb06]:80/PLTV/1/224/3221230571/1.m3u8
CCTV-1,http://[2409:8087:2001:20:2800:0:df6e:eb06]:80/PLTV/1/224/3221230656/1.m3u8
CCTV-1,http://[2409:8087:2001:20:2800:0:df6e:eb06]:80/PLTV/1/224/3221230861/1.m3u8
CCTV-1,http://[2409:8087:2001:20:2800:0:df6e:eb06]:80/PLTV/1/224/3221230971/1.m3u8
CCTV-1,http://[2409:8087:2001:20:2800:0:df6e:eb07]/ott.mobaibox.com/PLTV/3/224/3221227467/index.m3u8
